status,project,preset,grid_profile,active_params,model,seed,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00299216994722,0.00299216994722,"0,1,2",0.00525920044612,0.00061520313007,0.00525920044612,0.00061520313007,1.32328975201,0.0124106341973,1.32328975201,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,46,46,,,,,0.00360378562382,0.00299216994722,0.00299216994722,4fa9bd3ea030,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-4fa9bd3ea030
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00299111239838,0.00299111239838,"0,1,2",0.00625687136169,0.000571414270175,0.00625687136169,0.000571414270175,1.05584132671,0.00528697669506,1.05584132671,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.9230769231,45.9230769231,,,,,0.00332947854606,0.00299111239838,0.00299111239838,88761fd5ad6d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-88761fd5ad6d
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.00294325871968,0.00294325871968,"0,1,2",0.00620056660125,0.000439766283295,0.00620056660125,0.000439766283295,0.959963023663,0.00516039365903,0.959963023663,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.7692307692,45.7692307692,,,,,0.00312130370635,0.00297357232664,0.00294325871968,d4328dee29aa,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-d4328dee29aa
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,4,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00307493628975,0.00307493628975,"0,1,2",0.00681609800455,0.000442741134718,0.00681609800455,0.000442741134718,0.887073516846,0.00541455857456,0.887073516846,0.0078125,0.0078125,0.0078125,0.0078125,4,4,4,4,45.6923076923,45.6923076923,,,,,0.00311642269314,0.00306234408718,0.00307493628975,edae05eaa572,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-edae05eaa572
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00173814993099,0.00173814993099,"0,1,2",0.0037781508084,0.000479874656511,0.0037781508084,0.000479874656511,0.538193702698,0.00237908470444,0.538193702698,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,46.0769230769,46.0769230769,,,,,0.00271161068371,0.00173814993099,0.00173814993099,0c2bbf0b103b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-0c2bbf0b103b
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00301477299515,0.00301477299515,"0,1,2",0.00655824831125,0.000444900805612,0.00655824831125,0.000444900805612,0.865212678909,0.00521044339985,0.865212678909,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.9230769231,45.9230769231,,,,,0.002982790268,0.00301477299515,0.00301477299515,0f90149c6c88,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmultiplus/seed-1234/run-0f90149c6c88
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00303756799931,0.00303756799931,"0,1,2",0.00662446448662,0.000436041637193,0.00662446448662,0.000436041637193,0.866161644459,0.00528740044683,0.866161644459,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.6153846154,45.6153846154,,,,,0.00306555808314,0.00303756799931,0.00303756799931,b388cb242868,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-b388cb242868
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00298910134365,0.00298910134365,"0,1,2",0.00657234251725,0.000424301647391,0.00657234251725,0.000424301647391,0.847593486309,0.00524971773848,0.847593486309,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,45.4230769231,45.4230769231,,,,,0.00300964873219,0.00298910134365,0.00298910134365,c03f6bd2c7e8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-c03f6bd2c7e8
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00304062441253,0.00304062441253,"0,1,2",0.00662922368826,0.000453061325691,0.00662922368826,0.000453061325691,0.88237118721,0.00541637418792,0.88237118721,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.8846153846,44.8846153846,,,,,0.00309561487044,0.00304062441253,0.00304062441253,fa10bddf5d1d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-fa10bddf5d1d
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.003075428282,0.003075428282,"0,1,2",0.00671999239231,0.000431285316142,0.00671999239231,0.000431285316142,0.898047029972,0.00562798418105,0.898047029972,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,44.1923076923,44.1923076923,,,,,0.00303240913939,0.00304539435008,0.003075428282,c6913c598f11,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-c6913c598f11
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,8,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00303262278607,0.00303262278607,"0,1,2",0.00664132801612,0.000432801222733,0.00664132801612,0.000432801222733,0.867834031582,0.00547068426386,0.867834031582,0.0078125,0.0078125,0.0078125,0.0078125,8,8,8,8,43.5384615385,43.5384615385,,,,,0.00306053405848,0.00300575735682,0.00303262278607,4188bc9bbffb,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-4188bc9bbffb
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.00119694909217,0.00119694909217,"0,1,2",0.00267211367775,0.00043513513103,0.00267211367775,0.00043513513103,0.376320034266,0.0015719437506,0.376320034266,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,46.0769230769,46.0769230769,,,,,0.00271848495899,0.00119694909217,0.00119694909217,c44751c94320,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1234/run-c44751c94320
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00302414692024,0.00302414692024,"0,1,2",0.00658628541916,0.000484320967868,0.00658628541916,0.000484320967868,0.892922759056,0.00524598732591,0.892922759056,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,46,46,,,,,0.00302685128995,0.00302414692024,0.00302414692024,008016b1f782,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmultiplus/seed-1234/run-008016b1f782
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00302375540812,0.00302375540812,"0,1,2",0.00662951434075,0.000447061029263,0.00662951434075,0.000447061029263,0.884921371937,0.00556157529354,0.884921371937,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,46,46,,,,,0.00304317640771,0.00302375540812,0.00302375540812,47169e8b1530,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1234/run-47169e8b1530
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00304804977163,0.00304804977163,"0,1,2",0.00664753148415,0.000471473587872,0.00664753148415,0.000471473587872,0.885172247887,0.00533912191167,0.885172247887,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.8846153846,45.8846153846,,,,,0.00302232377651,0.00304804977163,0.00304804977163,3f4d6eaeb4a9,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1234/run-3f4d6eaeb4a9
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.1,50,0.001,16,20,strong,absolute,cuda,0.00303662675474,0.00303662675474,"0,1,2",0.00665524011921,0.000442569951739,0.00665524011921,0.000442569951739,0.872054457664,0.0053084329702,0.872054457664,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.8076923077,45.8076923077,,,,,0.00304583184101,0.00303662675474,0.00303662675474,414f94245be8,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-1/convmultiplus/seed-1234/run-414f94245be8
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.15,50,0.001,16,20,strong,absolute,cuda,0.00303827525596,0.00303827525596,"0,1,2",0.0066463485612,0.000461670391414,0.0066463485612,0.000461670391414,0.890740633011,0.005415876396,0.890740633011,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.5384615385,45.5384615385,,,,,0.00298947671348,0.00303344317236,0.00303827525596,b6fd4aec86d4,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-15/convmultiplus/seed-1234/run-b6fd4aec86d4
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1234,0,1,12,event_traces,0,0,jitter,0.2,50,0.001,16,20,strong,absolute,cuda,0.00302842159912,0.00302842159912,"0,1,2",0.00656997208638,0.000455472319797,0.00656997208638,0.000455472319797,0.889354050159,0.00531025696546,0.889354050159,0.0078125,0.0078125,0.0078125,0.0078125,12,12,12,12,45.3846153846,45.3846153846,,,,,0.00301987654734,0.00302596209064,0.00302842159912,e6cb49bf1ebe,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-2/convmultiplus/seed-1234/run-e6cb49bf1ebe
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1235,0,1,2,event_traces,0,0,jitter,0,50,0.001,16,20,strong,absolute,cuda,0.0019986190387,0.0019986190387,"0,1,2",0.00426029271959,0.000446492524262,0.00426029271959,0.000446492524262,0.56464356184,0.00297019351274,0.56464356184,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,46.0769230769,46.0769230769,,,,,0.00332487105777,0.0019986190387,0.0019986190387,daad503cc390,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0/convmultiplus/seed-1235/run-daad503cc390
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1235,0,1,2,event_traces,0,0,jitter,0.01,50,0.001,16,20,strong,absolute,cuda,0.00299769900376,0.00299769900376,"0,1,2",0.00638476457257,0.000495253519382,0.00638476457257,0.000495253519382,0.964540719986,0.00481999432668,0.964540719986,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,45.7307692308,45.7307692308,,,,,0.0031251538973,0.00299769900376,0.00299769900376,263d4f679178,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-01/convmultiplus/seed-1235/run-263d4f679178
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1235,0,1,2,event_traces,0,0,jitter,0.03,50,0.001,16,20,strong,absolute,cuda,0.00306660358907,0.00306660358907,"0,1,2",0.0067124592822,0.000457523521947,0.0067124592822,0.000457523521947,0.896434128284,0.00553439045325,0.896434128284,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,45.5384615385,45.5384615385,,,,,0.00304556300093,0.00306660358907,0.00306660358907,babd8b6f1a66,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-03/convmultiplus/seed-1235/run-babd8b6f1a66
complete,activation1d,default,full,"s,t0,x0",convmultiplus,1235,0,1,2,event_traces,0,0,jitter,0.05,50,0.001,16,20,strong,absolute,cuda,0.00299890937077,0.00299890937077,"0,1,2",0.00672413784542,0.00044536193017,0.00672413784542,0.00044536193017,0.897947788239,0.00589279038832,0.897947788239,0.0078125,0.0078125,0.0078125,0.0078125,2,2,2,2,45,45,,,,,0.00331985279123,0.00299890937077,0.00299890937077,149cad4bfd4f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/snn-eikonal-event-jitter-stress-activation1d-e50-n128-ms1/activation1d/preset-default/grid-full/active-s-t0-x0/obs-event-traces/event-noise-jitter-0-05/convmultiplus/seed-1235/run-149cad4bfd4f
