run_name	project	inverse_formulation	train_total_loss	test_total_loss	train_mae	test_mae	data_sha256	predictions_sha256
lorenz-absolute	lorenz	absolute	2.204416	4.742713	1.0128423	1.447873	167bfb5b2f6e794aef3ef832284956f1e47fc9f1bb7be8b2925ee13ecef4ca35	4862739cdada69d481d6acdf1b1f267bb6fd104c704a3d9039338d9286d13f01
lorenz-reference-delta	lorenz	reference_delta	2.15462	2.927462	1.079245	1.04598751	a3273ec40e2a29370736a0e92d4a5d2c3a620d142efd3b0f7274ad4e47cdbd0f	5b3f61a56315a188a2f46b3bee74db1dec10f5a1a4c1a38ef98c863896136184
