status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,inverse_direction_kind,inverse_direction_index,inverse_active_dimension,inverse_regularization_lambda,device,training_time_seconds,evaluation_time_seconds,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,test_abs_field_error_median,test_rel_field_error_median,test_rel_field_error_max,test_forward_linear_error_median,test_forward_linear_error_max,test_forward_quadratic_error_median,test_forward_quadratic_error_max,test_observed_forward_residual_median,test_observed_forward_residual_max,test_observed_forward_residual_mse,test_clean_forward_residual_median,test_clean_forward_residual_max,test_clean_forward_residual_mse,test_observation_noise_floor_median,test_observation_noise_floor_max,test_observation_noise_floor_mse,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,2,0,default,0,1e-05,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.414963788,6.07000038144e-06,4.514100874e-05,6.771151311e-05,"0,2",2.62601926508e-05,0,2.62601926508e-05,0.000109162833569,6.99354804152e-09,3.98015565758e-08,4.67951046173e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.000157822948783,0.000338943961133,0.000144947469697,0.000154784263024,0.000159673208636,0.000326544331389,3.98015565758e-08,7.01577943982e-05,0.000312477917824,2.14021601819e-08,0.000144946870257,0.000154706058334,2.04284501069e-08,,,,2d3e545a1c95,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-2d3e545a1c95
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,2,0,default,0,0.0001,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.418244925,5.4080001064e-06,0.000103530166802,0.000155295250203,"0,2",3.92673911766e-05,0,3.92673911766e-05,0.00027132310923,3.66849962076e-08,2.03735939837e-06,2.07404439458e-06,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.00144995044324,0.00155809249806,0.00144946930173,0.00154713462889,0.00143974617861,0.00154897013874,2.03735939837e-06,0.000196312487478,0.000415382534879,6.02109629032e-08,0.00144946870257,0.00154706058334,2.04284501069e-06,,,,814be0733c73,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-814be0733c73
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,10,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.392397117999,5.53199970454e-06,0.00101466828466,0.00152200242699,"0,2",0.000623359371389,0,0.000623359371389,0.00242064548258,3.8135338256e-06,1.18260715529e-05,1.56396053785e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00201129274229,0.00738972189882,8.88142952593e-05,0.000276281267621,0.00183309707194,0.00712267422023,1.18260715529e-05,0.00183309707194,0.00712267422023,1.18260715529e-05,0,0,0,,,,abd579708096,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-abd579708096
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,10,0,default,0,1e-06,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.40480516,1.0624999959e-05,0.0010149536291,0.00152243044365,"0,2",0.000623477857742,0,0.000623477857742,0.00242138302956,3.81608265215e-06,1.18264237736e-05,1.56425064258e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00201041404072,0.00739079999004,9.09600877569e-05,0.000275468457873,0.00183321689202,0.00712263158012,1.18264237736e-05,0.00183219832793,0.00712368201797,1.18302873674e-05,1.44946870257e-05,1.54706058334e-05,2.04284501069e-10,,,,bc1cc4f6d7cd,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-bc1cc4f6d7cd
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,10,0,default,0,1e-05,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.404188239,5.98699989496e-06,0.00101771239878,0.00152656859817,"0,2",0.000624544234923,0,0.000624544234923,0.00242859296142,3.83921373151e-06,1.18477518811e-05,1.56869656126e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.00200687942699,0.00740145407459,0.0001713210554,0.000293311831753,0.00183901839184,0.0071232315635,1.18477518811e-05,0.00182415353476,0.00713275640638,1.18684639457e-05,0.000144946870257,0.000154706058334,2.04284501069e-08,,,,80e02bb13e5c,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-80e02bb13e5c
complete,lando1d,default,full,"alpha,gamma",born,2025,32,0,10,0,default,0,0.0001,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.401182096,5.54799953534e-06,0.00106369940011,0.00159554910017,"0,2",0.000635208006729,0,0.000635208006729,0.00255589019361,4.0894969298e-06,1.38586868972e-05,1.7948183827e-05,1,1,0.8888,0.888571428571,200,200,177.76,177.714285714,0,0,,,,,,,,0.002372445545,0.00760012060705,0.00144954455805,0.00156471385791,0.00230494287819,0.00722587670143,1.38586868972e-05,0.00174826815178,0.0072239111727,1.22734218634e-05,0.00144946870257,0.00154706058334,2.04284501069e-06,,,,338d36a5de36,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-2025/run-338d36a5de36
complete,lando1d,default,full,"alpha,gamma",born,4096,32,0,2,0,default,0,0,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.403437328,5.64400033909e-06,4.01102268396e-05,6.01653402595e-05,"0,2",2.50753291168e-05,0,2.50753291168e-05,9.52553514021e-05,5.82383658841e-09,1.961670122e-08,2.54405378085e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.30584401246e-05,0.000304333307578,7.39794081889e-07,2.29144657105e-06,7.87032815965e-05,0.000301867140954,1.961670122e-08,7.87032815965e-05,0.000301867140954,1.961670122e-08,0,0,0,,,,a6bbb5e431e2,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-4096/run-a6bbb5e431e2
complete,lando1d,default,full,"alpha,gamma",born,4096,32,0,2,0,default,0,1e-06,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.418929587,5.78700019105e-06,4.07324914458e-05,6.10987371686e-05,"0,2",2.51869549083e-05,0,2.51869549083e-05,9.7010519429e-05,5.91116438811e-09,1.98266827197e-08,2.57378471078e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,8.40337090843e-05,0.000304530195505,1.47074235846e-05,1.64446135929e-05,8.00708608501e-05,0.000302182625323,1.98266827197e-08,7.83438734161e-05,0.000301794545289,1.97002331584e-08,1.45421439214e-05,1.649943843e-05,2.13967342386e-10,,,,6569687335a2,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-4096/run-6569687335a2
complete,lando1d,default,full,"alpha,gamma",born,4096,32,0,2,0,default,0,1e-05,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.401647745,4.91500031785e-06,4.63328729007e-05,6.9499309351e-05,"0,2",2.61915870312e-05,0,2.61915870312e-05,0.000112807031671,7.11846948214e-09,4.05094794322e-08,4.76279489144e-08,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.000189843076033,0.000332865013099,0.000145543168845,0.000164936826199,0.000177309525674,0.000331144876407,4.05094794322e-08,0.000106081818722,0.000301722728223,2.09151841936e-08,0.000145421439214,0.000164994384301,2.13967342386e-08,,,,457d23adb334,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-4096/run-457d23adb334
complete,lando1d,default,full,"alpha,gamma",born,4096,32,0,2,0,default,0,0.0001,none,0,1,0.001,-1,8,strong,absolute,diagonal,0,2,0,cpu,0.385573955,6.68399934511e-06,0.000135398750186,0.00020309812528,"0,2",4.0936388167e-05,0,4.0936388167e-05,0.000365259862392,6.09056551922e-08,2.10783974397e-06,2.16874539916e-06,1,1,0.8884,0.89,200,200,177.68,178,0,0,,,,,,,,0.00146458410135,0.00166436204854,0.00145433172415,0.0016498860125,0.00143780968468,0.00160636771857,2.10783974397e-06,0.000262531907008,0.000438215524469,7.89241781981e-08,0.00145421439214,0.00164994384301,2.13967342386e-06,,,,b115e92336c3,output/results/heart_problem/matrix/inv-man-lando1d-block1-method-comparison-ms2/lando1d/preset-default/grid-full/active-alpha-gamma/born/seed-4096/run-b115e92336c3
