run_name	project	inverse_formulation	train_total_loss	test_total_loss	train_mae	test_mae	data_sha256	predictions_sha256
allencahn-absolute	allencahn	absolute	1.005882	0.2282539	0.536500522	0.228852434	e42cab63725920730f9508a34912c60da5990cf79fcb342678cc387f44fdc206	f8254b8a3ad552c83998225eb75d7805040b46fbc63f896fab3d7e0818bd389f
allencahn-reference-delta	allencahn	reference_delta	1.132277	0.3036148	0.616570684	0.246018152	5ed2e61aa2134ac1bc267d6c29ed1f72601e6f74c767987b6666aea25198c656	bb0e7a5c49dba67997cb9b8cba3c05a80b3dff812c0040788d49c7c1014bc84c
