run_name	project	inverse_formulation	train_total_loss	test_total_loss	train_mae	test_mae	data_sha256	predictions_sha256
activation1d-absolute	activation1d	absolute	1.703429	2.340427	0.49308308	0.61006234	544f6601160695eec9e9a9d8ed93e5370fa1c444687dfc1db6934019fb6d21e3	3a037243bf9b2e0d5a624ce709880452e013eb0182cebd562467816f002bd963
activation1d-reference-delta	activation1d	reference_delta	1.833276	2.434586	0.51991977	0.6439969	7a854f657e2c98c07337d87f94434af7b3ac9f8c2941147a8b1183b8d696e74d	e679ff883e6150a23c6cdd6c250a0b95619b4a7f575bfdf294e6602410e425af
