split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,1.9530098541535718e-05,0.0010099788871111852,2.831574298205411e-05,2.6150268123433207e-05,2.0530223196898357e-05,1.5721282214395744e-05
train,1,5.259131210411572e-05,0.001982106286760434,9.122777229460522e-05,7.667687609806079e-05,7.480029203441743e-05,1.4383071902298839e-05
train,2,0.00015328721210900985,0.009996962371002768,0.00042244946307628086,0.0003924839461675524,0.00039465995762983015,1.3394934837774288e-05
train,3,0.0003273071113345014,0.006983706665158703,0.0003388705070746599,8.941507121384204e-05,8.809969944679719e-05,1.3066606476414485e-05
train,4,3.136673446874894e-05,0.006072588942201793,0.00021032072194060927,0.00020811748921101148,0.0002083551987545033,1.4077814676693842e-05
train,5,6.851956582101729e-05,0.005216537306074939,0.0001561157296942862,0.0001407901745410651,0.00014046398641536688,1.3831438618662343e-05
train,6,1.3397015307786316e-05,0.00027419279210734747,1.3655882448859803e-05,1.3611007783511764e-05,2.647000868648319e-06,1.3365368513208882e-05
train,7,0.0001352033797896496,0.00708922681094395,0.00022564211948922257,0.00018281435074605416,0.00018098523061334788,1.4486971246255787e-05
train,8,7.039093772560419e-05,0.0022325486218123455,8.449923903368106e-05,4.811123753660678e-05,4.686085975717332e-05,1.4169152917293253e-05
train,9,0.00018425228538144242,0.004386158214853269,0.0002562310745900644,0.0001778634353081153,0.00017910889509219354,1.5074353249278865e-05
train,10,0.00011002045568663241,0.0032904268066363527,0.00019014390628958316,0.00015689811964801203,0.00015593870844403802,1.414283697791539e-05
train,11,0.0003292164646976658,0.012767976980620334,0.0004782809874999035,0.00034740705116101655,0.00034798141827348505,1.4190069339567013e-05
train,12,1.6478197729379918e-05,0.001985444478841501,4.211674475497532e-05,4.2078943377467594e-05,3.878359916697751e-05,1.5218734868831591e-05
train,13,1.429987858594087e-05,0.0001928934419633765,1.4339023199061088e-05,1.4293884481431525e-05,1.058855463113936e-06,1.4270040972522777e-05
train,14,0.0003081976258932588,0.012194904648699585,0.00048504901930562826,0.0003757983048243821,0.0003757082888755277,1.4488665051917953e-05
train,15,1.7675508867332917e-05,0.0014551018475510967,2.6493093188978996e-05,2.3045254665930383e-05,1.9742362286771382e-05,1.3376078278896027e-05
train,16,0.00022956724407022924,0.004798356236799153,0.0002725570599431953,0.0001489464957196335,0.00014774623434181443,1.4219783763499643e-05
train,17,0.00023906540745675549,0.007106201030989867,0.00024748858578564127,6.527440325919219e-05,6.405262050583815e-05,1.2908918305735682e-05
train,18,9.536573379334601e-05,0.002956144117714088,0.00016100809561562322,0.00013261146048481405,0.00013036749360854477,1.342884727628834e-05
train,19,9.203042632836727e-05,0.0053563485126200214,0.0001389058813916464,0.00010522817227930125,0.00010418228314163027,1.3719050382068635e-05
train,20,3.934238418958908e-05,0.0016408555881343052,6.835286723845658e-05,5.971780931280515e-05,5.606677427459768e-05,1.4329800467969492e-05
train,21,1.5033761891614571e-05,0.0010778166943761984,2.0765360844086896e-05,2.0047127660138472e-05,1.4327831642262622e-05,1.433697319550724e-05
train,22,0.0003677307297843439,0.010418014432280192,0.0003953542841799764,0.0001470982961089406,0.00014534181951991805,1.3836744372231828e-05
train,23,7.769798996117117e-05,0.013205410110053026,0.0006423957873294776,0.0006388234878235807,0.0006398530145033041,1.3347766365016206e-05
train,24,0.00014627526148390237,0.012408816078448385,0.0005894697561301864,0.0005725705025085469,0.0005728448674952011,1.532881829173482e-05
test,0,6.857008765934506e-05,0.003596118413733023,0.00015883261720674632,0.00014385436385254372,0.00014393554263690447,1.5470605833418225e-05
test,1,4.676299509645324e-05,0.002010414040720575,9.096008775691764e-05,7.817476587426895e-05,7.830906076674585e-05,1.3986239172667519e-05
test,2,0.00010422212831850532,0.003240152508491769,0.0001893375734360575,0.0001574842023263536,0.00015895576724867476,1.5101153934331412e-05
test,3,1.7235047285436458e-05,0.0018872594057786315,4.2535174039675316e-05,4.016749827283705e-05,3.8916180799949554e-05,1.3521501028131542e-05
test,4,1.579461285144855e-05,0.0010242173763612243,2.0891139608742288e-05,1.9254338443213032e-05,1.3676668598325712e-05,1.4712315032091958e-05
test,5,2.5579845198550562e-05,0.007390799990038939,0.0002754684578731141,0.00027614957458646576,0.00027483224330334245,1.2554400449992189e-05
test,6,1.4418428016659946e-05,0.00020345808592190162,1.4617446778648761e-05,1.4436871795968e-05,2.404007030224891e-06,1.4494687025683646e-05
