run_name	project	inverse_formulation	train_total_loss	test_total_loss	train_mae	test_mae	data_sha256	predictions_sha256
helmholtz1d-absolute	helmholtz1d	absolute	0.9700353	1.236706	0.2060095	0.2528973	9abdc5e7d4aa17a7ce202f1bd5e0af8cb0339524df6397a7968e530f63e4a754	36bae7069ed36cf73efff4ae82c889437a7e00a8eff3e49a76a06893d049dd17
helmholtz1d-reference-delta	helmholtz1d	reference_delta	1.051909	1.332322	0.2141665	0.2625733	6ae579e42ec66015993c10f174863f58e6efe5d573d5170dd1d452e2dfb2ac57	ed19cf050f6f78f8bf32b8ce6f833f81e5ab445d46710a2c8306e168d9973d6d
