split,sample_index,polynomial_residual,forward_linear_error,forward_quadratic_error,observed_forward_residual,clean_forward_residual,observation_noise_floor
train,0,0.000986171755647635,0.0010243421006977957,0.00015936930183092562,0.0009677945197411243,0.0009630989180364164,0.00015721282214449435
train,1,0.0019163939315742545,0.001983695036546962,0.0001709635783948522,0.001996297220262917,0.00198457578746416,0.000143830719023104
train,2,0.009806467945061332,0.00997436893424664,0.00046488289566598405,0.009436395479696812,0.009411362430736576,0.0001339493483777735
train,3,0.004110586193888161,0.006986428687223496,0.0003593049444182548,0.004042153041934646,0.004046229607861752,0.00013066606476457276
train,4,0.006058608083981988,0.006081149087817339,0.0002587603911240868,0.006277456008081896,0.006282937690086768,0.00014077814676751984
train,5,0.005020869126343932,0.005216952883684339,0.00020685009633442577,0.004886972793292879,0.004881933625273896,0.000138314386187192
train,6,0.0002981257269318602,0.0003041047770871701,0.00013367937400888624,0.0002960128611808875,0.00026320036244587805,0.00013365368513162422
train,7,0.006038209234889376,0.00710304017936695,0.0002628016920050512,0.0058664653854412436,0.0058793101178381876,0.0001448697124620503
train,8,0.0018246776988532205,0.0022429345416875943,0.000171123752142629,0.0018732097732160162,0.0018768869100253762,0.00014169152917321902
train,9,0.003991597304612273,0.004399749210787779,0.0003037784591034017,0.004188471309323485,0.004203579003630576,0.00015074353249208474
train,10,0.0031748877135369994,0.0032883155149552004,0.00023470815250910732,0.0033465778452503457,0.003338323482745694,0.0001414283697790497
train,11,0.009710006094353773,0.01278313781967352,0.0005045901786857701,0.010079417729023203,0.010086754660572555,0.00014190069339559832
train,12,0.001983415474416252,0.0019943542547981316,0.00015656204576386222,0.0019454192396954491,0.001944475057728368,0.00015218734868851382
train,13,0.00022958086594434296,0.0002381187295242179,0.00014273307877926044,0.0002288475341208963,0.0001790552247011691,0.00014270040972549325
train,14,0.009698522573559973,0.012185927549579057,0.0005099045924861828,0.009348317976185405,0.009345512153616042,0.0001448866505193397
train,15,0.0013530550827711729,0.0014691793217116238,0.00013695753925985316,0.001372076486908199,0.001373218848197723,0.000133760782788003
train,16,0.0037974476106067694,0.00481456119860245,0.00029598852211755716,0.003663007942052411,0.003666769345197672,0.00014219783763483386
train,17,0.004038416992614112,0.0070952950260858745,0.00028556433279688183,0.00407659459296701,0.004066615118750105,0.00012908918305710535
train,18,0.0028453279723853354,0.0029461861422902243,0.00020249743675643977,0.002989370008279412,0.0029700720168147755,0.00013428847276277433
train,19,0.004164554739226243,0.005351648377090337,0.0001990730939314315,0.004064734464140138,0.0040635402703677196,0.00013719050382062626
train,20,0.0015464174421888984,0.0016633008315171,0.0001518647275972982,0.0014944687686529975,0.001507559178466432,0.00014329800467965058
train,21,0.0010722289150934432,0.0010853123982968466,0.0001443431132862287,0.001058582532058627,0.0010461875020616167,0.0001433697319557177
train,22,0.006196019640720457,0.010436862824589305,0.0004186003388612529,0.006109799631587619,0.006121085572239991,0.00013836744372171622
train,23,0.013189382770850258,0.013216144099955248,0.0006654427369143349,0.013875019123426554,0.013885944968644225,0.00013347766364950846
train,24,0.012331560392186122,0.012405841904909915,0.000611849902363433,0.011796599809832138,0.011790777344087911,0.0001532881829171548
test,0,0.0035144432378069177,0.0036043630764977528,0.0002272546077882183,0.0036574502543814005,0.003660142723552141,0.00015470605833434176
test,1,0.0019061621591308735,0.002006879426990877,0.00017132105540010995,0.0018390183918428305,0.0018241535347631802,0.0001398623917265291
test,2,0.003140232293721782,0.003263404763502862,0.00025571624922419837,0.0033115245471168537,0.003329244206202684,0.0001510115393437272
test,3,0.0018704418346098186,0.0018825484331545673,0.00014361728216867416,0.0018341629883779121,0.0018182973908401267,0.00013521501028147858
test,4,0.0010098381129371875,0.0010455895208770593,0.0001490091416958218,0.0010224063452974076,0.00102321039834988,0.00014712315032088829
test,5,0.007383915911507763,0.007401454074588821,0.00029331183175263436,0.00712323156350121,0.0071327564063784835,0.00012554400449965884
test,6,0.00024253628144038926,0.00025535751601043843,0.00014502701666722282,0.00024339437639074544,0.0002045015568869241,0.00014494687025660969
