run_name	project	inverse_formulation	train_total_loss	test_total_loss	train_mae	test_mae	data_sha256	predictions_sha256
fhncardiac2d-dataset-noise-absolute	fhncardiac2d	absolute	1.053017	5.23289	0.0061656373235174	0.0103144747235174	8befcf79f9f266db4d64b95cd81bcd332e957679238852b8cde32e93860a495d	5dc6d7804195bdfc9179f6898e61f4a956e5c7488a1bc586846edddc2e09dd38
fhncardiac2d-dataset-noise-reference-delta	fhncardiac2d	reference_delta	82.59319	7.540731	0.031482434223517396	0.0069366305235174005	27c720eb0e72c0ee8faaa6aa75c0204f8a33e61eeb59da586048eec601cf1fa1	12af994ca07db48eb55ac16356d6b166fc78502025c2c3d54d9408479c12a100
